name,state,lat,lon,score,commute,pop,region,division
Fredericksburg,VA,38.0942306518555,-77.4250640869141,0.0945812836,0.205,2,South,South Atlantic
Baltimore,MD,39.2704734802246,-76.7990646362305,0.064007394,0.199,3,South,South Atlantic
Colonial Beach,VA,37.9297065734863,-76.796630859375,0.0654515326,0.31,2,South,South Atlantic
Washington DC,DC,38.9264755249023,-77.4324722290039,0.1098117381,0.16,3,NA,NA
Marquette,MI,46.1725540161133,-86.9097442626953,0.0965651348,0.501,2,North Central,East North Central
Marinette,MI,45.6683578491211,-88.1482696533203,0.1027253643,0.525,2,North Central,East North Central
Sault Ste. Marie,MI,46.1847114562988,-84.5001525878906,0.0991831943,0.539,2,North Central,East North Central
Jackson,MI,41.9445495605469,-84.3774566650391,0.0630887821,0.356,2,North Central,East North Central
Detroit,MI,42.7676162719727,-83.2955093383789,0.0545927621,0.243,3,North Central,East North Central
Lansing,MI,42.6758804321289,-84.648681640625,0.0641167387,0.356,2,North Central,East North Central
Mount Pleasant,MI,43.562671661377,-84.7600479125977,0.0646153837,0.467,2,North Central,East North Central
Saginaw,MI,43.6854476928711,-83.6669769287109,0.0644080862,0.376,2,North Central,East North Central
Big Rapids,MI,44.0386199951172,-85.3946990966797,0.0743079185,0.407,2,North Central,East North Central
Ludington,MI,44.122974395752,-86.1842346191406,0.0760736167,0.493,2,North Central,East North Central
Kalamazoo,MI,42.3128662109375,-85.5140533447266,0.0526231341,0.36,2,North Central,East North Central
Grand Rapids,MI,43.1889839172363,-85.7264099121094,0.063729167,0.344,3,North Central,East North Central
Traverse City,MI,44.8549652099609,-85.5310363769531,0.0742486715,0.356,2,North Central,East North Central
Petoskey,MI,45.3941383361816,-84.7933502197266,0.0765550211,0.428,2,North Central,East North Central
Alpena,MI,45.0324363708496,-83.6990737915039,0.078644067,0.472,2,North Central,East North Central
Grayling charter,MI,44.6857032775879,-84.4363555908203,0.0748898685,0.457,2,North Central,East North Central
Dayton,OH,40.0221176147461,-84.1028137207031,0.0488145053,0.341,3,North Central,East North Central
Washington Court House,OH,39.2948684692383,-83.5627670288086,0.0533333346,0.345,2,North Central,East North Central
Wayne,IN,39.7046165466309,-85.0427474975586,0.0539811067,0.464,2,North Central,East North Central
Cincinnati,OH,38.8519401550293,-84.2685470581055,0.0512119494,0.258,3,North Central,East North Central
Maysville,KY,38.4998893737793,-83.6712799072266,0.0528455302,0.322,2,South,East South Central
Washington,IN,39.0648803710938,-85.0641784667969,0.1065877154,0.314,2,North Central,East North Central
Lexington-Fayette,KY,38.1320838928223,-84.5081634521484,0.0537449978,0.345,2,South,East South Central
Mount Sterling,KY,38.0783996582031,-83.6634368896484,0.0622914359,0.323,2,South,East South Central
Danville,KY,37.7040634155273,-84.7249908447266,0.0727496892,0.353,2,South,East South Central
Elizabethtown,KY,37.7544479370117,-86.0881271362305,0.081598945,0.338,2,South,East South Central
Louisville,KY,38.2993583679199,-85.6781463623047,0.051995486,0.261,3,South,East South Central
Madison,IN,38.6902122497559,-85.3903198242188,0.0938271582,0.411,2,North Central,East North Central
Bardstown,KY,37.6990623474121,-85.40478515625,0.0762167126,0.373,2,South,East South Central
Owensboro,KY,37.5197410583496,-86.9816970825195,0.0923025683,0.387,2,South,East South Central
Findlay,OH,40.9678688049316,-83.3274612426758,0.0736145601,0.457,2,North Central,East North Central
Lima,OH,40.7105560302734,-84.2717895507812,0.0694817677,0.445,2,North Central,East North Central
Toledo,OH,41.5681457519531,-83.6778793334961,0.0574808046,0.345,3,North Central,East North Central
Defiance,OH,41.3234443664551,-84.5065536499023,0.0814732164,0.437,2,North Central,East North Central
South Bend,IN,41.6564559936523,-86.3163223266602,0.0601345673,0.385,2,North Central,East North Central
Concord,IN,41.6202926635742,-85.4939270019531,0.0734009892,0.405,2,North Central,East North Central
Wayne,IN,41.0524978637695,-85.9183959960938,0.0915141404,0.439,2,North Central,East North Central
Center,IN,40.6478614807129,-86.2592697143555,0.0661350861,0.451,2,North Central,East North Central
Muncie,IN,40.2140159606934,-85.4548721313477,0.0531732403,0.417,2,North Central,East North Central
Fort Wayne,IN,41.0252723693848,-85.1665344238281,0.0659465641,0.352,2,North Central,East North Central
Indianapolis,IN,39.611385345459,-86.122688293457,0.0490063243,0.262,3,North Central,East North Central
Columbus,IN,38.8266105651855,-85.8469085693359,0.0746864304,0.404,2,North Central,East North Central
Terre Haute,IN,39.5072402954102,-87.3151550292969,0.082625255,0.391,2,North Central,East North Central
Lafayette,IN,40.3285369873047,-87.0883178710938,0.0908335671,0.429,2,North Central,East North Central
Bloomington,IN,38.8078384399414,-86.9038391113281,0.0871858522,0.397,2,North Central,East North Central
Evansville,IN,38.1533546447754,-87.454719543457,0.0792389214,0.366,2,North Central,East North Central
Olney,IL,38.2621994018555,-88.0994873046875,0.1169398874,0.486,2,North Central,East North Central
Vincennes,IN,38.6371536254883,-87.4358901977539,0.1098398194,0.488,2,North Central,East North Central
Gary,IN,41.2179756164551,-87.2666168212891,0.081390135,0.277,2,North Central,East North Central
Canton,OH,40.519172668457,-81.465934753418,0.0649108514,0.378,3,North Central,East North Central
Lorain,OH,41.2349052429199,-82.3657455444336,0.0566001162,0.362,2,North Central,East North Central
Cleveland,OH,41.2727546691895,-81.4847259521484,0.050859265,0.268,3,North Central,East North Central
Parkersburg,WV,39.1996803283691,-81.4451217651367,0.0708944052,0.346,2,South,South Atlantic
Zanesville,OH,39.7343330383301,-81.7836303710938,0.0684076101,0.346,2,North Central,East North Central
Steubenville,OH,40.4033126831055,-80.7016906738281,0.0727181509,0.378,2,North Central,East North Central
Wheeling,WV,39.6376495361328,-80.8091583251953,0.1254040152,0.343,2,South,South Atlantic
Scioto,OH,39.01025390625,-82.9105377197266,0.0648590028,0.322,2,North Central,East North Central
Athens,OH,38.9975662231445,-82.0629959106445,0.0747126415,0.359,2,North Central,East North Central
Columbus,OH,39.9555130004883,-82.7316818237305,0.049094066,0.271,3,North Central,East North Central
Mansfield,OH,40.6658096313477,-82.7405624389648,0.0644607842,0.403,2,North Central,East North Central
State College,PA,40.8506507873535,-78.1835327148438,0.1131276488,0.397,2,Northeast,Middle Atlantic
Altoona,PA,40.2173004150391,-78.6428298950195,0.1023769081,0.391,2,Northeast,Middle Atlantic
Pittsburgh,PA,40.5679092407227,-79.5761260986328,0.09514869,0.287,3,Northeast,Middle Atlantic
Youngstown,OH,41.016960144043,-80.6030731201172,0.0669745952,0.374,3,North Central,East North Central
Erie,PA,41.3742065429688,-79.5036315917969,0.0751668066,0.427,2,Northeast,Middle Atlantic
Roanoke,VA,37.3139152526855,-80.1677627563477,0.0640164241,0.334,2,South,South Atlantic
Elkins,WV,38.7990913391113,-79.7854919433594,0.1057993695,0.388,2,South,South Atlantic
Morgantown,WV,39.3572540283203,-80.3536605834961,0.1049584672,0.336,2,South,South Atlantic
Buckhannon,WV,38.926456451416,-80.3829650878906,0.1264108419,0.377,2,South,South Atlantic
Beckley,WV,37.9249839782715,-80.8328170776367,0.1064450294,0.33,2,South,South Atlantic
Summersville,WV,38.5716857910156,-80.7836837768555,0.1285289675,0.329,2,South,South Atlantic
Charleston,WV,38.1433944702148,-81.7158126831055,0.0972293913,0.28,2,South,South Atlantic
Spencer,WV,38.7986145019531,-81.213020324707,0.1465677172,0.268,1,South,South Atlantic
Pikeville,KY,37.7573471069336,-82.6051483154297,0.1378403753,0.295,2,South,East South Central
Huntington,KY,38.2893447875977,-82.8904647827148,0.0685057491,0.343,2,South,East South Central
Harrisonburg,VA,38.7607040405273,-78.7827987670898,0.0938897133,0.378,2,South,South Atlantic
Staunton,VA,37.8701171875,-79.5354461669922,0.0680161938,0.344,2,South,South Atlantic
Hagerstown,PA,39.7436256408691,-77.9620590209961,0.0870945826,0.298,2,Northeast,Middle Atlantic
Cumberland,MD,39.2735443115234,-78.8268737792969,0.0969055369,0.373,2,South,South Atlantic
Winchester,VA,39.2103652954102,-78.4002304077148,0.0972972959,0.301,2,South,South Atlantic
Charlottesville,VA,38.0418243408203,-78.2333831787109,0.0613825992,0.282,2,South,South Atlantic
Syracuse,NY,43.084644317627,-75.6718292236328,0.076672107,0.378,3,Northeast,Middle Atlantic
Oneonta,NY,42.4394607543945,-75.0704956054688,0.0928838924,0.405,2,Northeast,Middle Atlantic
Union,NY,42.1343231201172,-76.0699844360352,0.088044025,0.363,2,Northeast,Middle Atlantic
Buffalo,NY,42.7380714416504,-77.7660903930664,0.066782549,0.333,3,Northeast,Middle Atlantic
Elmira,NY,42.3245124816895,-76.8524780273438,0.0936922133,0.411,2,Northeast,Middle Atlantic
Olean,NY,42.1064071655273,-78.447868347168,0.0801330507,0.455,2,Northeast,Middle Atlantic
St. Marys,PA,41.3966979980469,-78.6627578735352,0.1629834324,0.53,2,Northeast,Middle Atlantic
Watertown,NY,44.1033897399902,-75.5392837524414,0.1011804417,0.471,2,Northeast,Middle Atlantic
Plattsburgh,NY,44.331298828125,-73.7126007080078,0.0854566842,0.47,2,Northeast,Middle Atlantic
Amsterdam,NY,43.2861976623535,-74.4513702392578,0.082840234,0.416,2,Northeast,Middle Atlantic
Albany,NY,42.8572311401367,-73.8589172363281,0.0833333358,0.317,3,Northeast,Middle Atlantic
Sunbury,PA,40.8595542907715,-76.8812713623047,0.1113667712,0.396,2,Northeast,Middle Atlantic
Scranton,PA,41.2837600708008,-75.5423889160156,0.1074531749,0.351,3,Northeast,Middle Atlantic
Williamsport,PA,41.2774848937988,-77.2385025024414,0.1016209498,0.414,2,Northeast,Middle Atlantic
Allentown,PA,40.8401222229004,-75.4598083496094,0.0826314986,0.329,2,Northeast,Middle Atlantic
Reading,PA,40.153995513916,-76.2531967163086,0.0963095427,0.344,3,Northeast,Middle Atlantic
Harrisburg,PA,40.3097534179688,-77.1747894287109,0.0792682916,0.314,3,Northeast,Middle Atlantic
Poughkeepsie,NY,41.7227630615234,-74.4587554931641,0.0948357806,0.301,3,Northeast,Middle Atlantic
New York,NY,40.8868293762207,-73.4934310913086,0.1050008386,0.156,3,Northeast,Middle Atlantic
Toms River,NJ,40.027587890625,-74.3227462768555,0.1222978607,0.263,3,Northeast,Middle Atlantic
Newark,NJ,40.7106246948242,-74.6487045288086,0.1024259701,0.234,3,Northeast,Middle Atlantic
Philadelphia,PA,39.8666076660156,-75.3061828613281,0.0740116686,0.246,3,Northeast,Middle Atlantic
Wilmington,DE,39.5715065002441,-75.7440795898438,0.0657239258,0.251,2,South,South Atlantic
Dover,DE,38.5384826660156,-75.5329818725586,0.0625960082,0.358,2,South,South Atlantic
Easton,MD,38.7869148254395,-76.0423736572266,0.0626359284,0.32,2,South,South Atlantic
Chincoteague,VA,37.6719169616699,-75.6961898803711,0.0445141047,0.393,2,South,South Atlantic
Bangor,ME,44.9682998657227,-69.0667114257812,0.0809096843,0.403,2,Northeast,New England
Calais,ME,44.9989395141602,-67.6050033569336,0.0680272132,0.493,2,Northeast,New England
Presque Isle,ME,46.3964767456055,-68.5269775390625,0.0855855867,0.512,2,Northeast,New England
Portland,ME,44.7340354919434,-69.9392471313477,0.0805980191,0.363,3,Northeast,New England
Burlington,VT,44.0672149658203,-73.0345230102539,0.0931878537,0.366,2,Northeast,New England
Berlin,VT,44.4993209838867,-71.7748870849609,0.083530806,0.433,2,Northeast,New England
Claremont,VT,43.8187103271484,-72.2651672363281,0.078877002,0.383,2,Northeast,New England
Providence,RI,41.6681175231934,-71.3598098754883,0.0820953399,0.328,3,Northeast,New England
Nantucket,MA,41.3039436340332,-70.063362121582,0.0810810775,0.818,1,Northeast,New England
Oak Bluffs,MA,41.390796661377,-70.6558151245117,0.0676691756,0.576,1,Northeast,New England
Boston,MA,42.212329864502,-71.188606262207,0.1048499793,0.251,3,Northeast,New England
Manchester,NH,43.4739837646484,-71.297737121582,0.1001517475,0.301,3,Northeast,New England
Keene,NH,43.0325889587402,-72.474739074707,0.0901116431,0.407,2,Northeast,New England
Springfield,MA,42.3591499328613,-72.6502075195312,0.0680504739,0.342,2,Northeast,New England
Bridgeport,CT,41.6280708312988,-72.6092910766602,0.0786178932,0.308,3,Northeast,New England
Pittsfield,MA,42.6944618225098,-73.0525436401367,0.0865191147,0.479,2,Northeast,New England
Ashland,WI,46.1779747009277,-90.6493072509766,0.0910326093,0.533,2,North Central,East North Central
Houghton,MI,47.1474723815918,-88.5094833374023,0.1022727266,0.55,2,North Central,East North Central
Ironwood,MI,46.4919624328613,-89.6147308349609,0.1213872805,0.554,2,North Central,East North Central
Rhinelander,WI,45.8335456848145,-89.0856475830078,0.1062801927,0.509,2,North Central,East North Central
Rice Lake,WI,45.6672897338867,-91.4096221923828,0.1015262082,0.499,2,North Central,East North Central
Amery,WI,45.7065849304199,-92.5343780517578,0.1285500675,0.356,2,North Central,East North Central
Hutchinson,MN,44.8072204589844,-94.2248153686523,0.1770657599,0.464,2,North Central,West North Central
Redwood Falls,MN,44.5783004760742,-95.0502319335938,0.1971831024,0.571,2,North Central,West North Central
Mankato,MN,44.210090637207,-94.4642868041992,0.1263440847,0.563,2,North Central,West North Central
Owatonna,MN,44.1446380615234,-93.3868789672852,0.137931034,0.544,2,North Central,West North Central
St. Cloud,MN,45.5808372497559,-94.0343246459961,0.1268896013,0.398,2,North Central,West North Central
Minneapolis,MN,45.0522193908691,-93.2317886352539,0.0852011293,0.264,3,North Central,West North Central
Pine City,MN,45.988410949707,-92.7871551513672,0.1096979305,0.342,2,North Central,West North Central
Brainerd,MN,46.6966896057129,-94.1722030639648,0.0842745453,0.42,2,North Central,West North Central
Rochester,MN,44.2314186096191,-92.4435501098633,0.1421598494,0.469,2,North Central,West North Central
Austin,MN,43.6721839904785,-93.0618896484375,0.1177325547,0.555,2,North Central,West North Central
Mason City,IA,43.2174186706543,-93.4568328857422,0.1265984625,0.58,2,North Central,West North Central
Decorah,IA,43.2467956542969,-92.3541717529297,0.1657142788,0.542,2,North Central,West North Central
Marshalltown,IA,41.8321647644043,-92.8246612548828,0.1126346737,0.535,2,North Central,West North Central
Waterloo,IA,42.5283737182617,-92.3131866455078,0.1224658638,0.492,2,North Central,West North Central
Iowa Falls,IA,42.5082550048828,-93.2544174194336,0.1357615888,0.561,2,North Central,West North Central
Iowa City,IA,41.4012718200684,-91.2396545410156,0.0931849778,0.432,2,North Central,West North Central
Cedar Rapids,IA,41.9913520812988,-91.6312637329102,0.1173184365,0.42,2,North Central,West North Central
Ottumwa,IA,41.0566139221191,-92.4260864257812,0.1244979948,0.493,2,North Central,West North Central
Sheboygan,WI,43.9855575561523,-87.8510437011719,0.1380908191,0.512,2,North Central,East North Central
Oshkosh,WI,44.002685546875,-88.8022613525391,0.1148549691,0.445,2,North Central,East North Central
Green Bay,WI,44.8735694885254,-87.7272033691406,0.0910990387,0.427,2,North Central,East North Central
Shawano,WI,45.0303230285645,-88.799934387207,0.0839002281,0.447,2,North Central,East North Central
Wausau,WI,44.5141868591309,-90.0060272216797,0.1244852692,0.46,2,North Central,East North Central
Eau Claire,WI,44.4200897216797,-91.5252075195312,0.1130195782,0.463,2,North Central,East North Central
La Crosse,WI,43.8980979919434,-90.6592102050781,0.1181933284,0.45,2,North Central,East North Central
Monroe,WI,42.8756561279297,-90.5752639770508,0.1671388149,0.461,2,North Central,East North Central
Madison,WI,43.4425773620605,-89.6100234985352,0.0921911746,0.365,2,North Central,East North Central
Dubuque,IA,42.7233352661133,-90.9662704467773,0.1594827622,0.524,2,North Central,West North Central
Charleston,IL,39.4560966491699,-87.8572311401367,0.0958677679,0.481,2,North Central,East North Central
Douglas,IL,38.9690818786621,-88.233268737793,0.1015452519,0.485,2,North Central,East North Central
Bloomington,IL,40.5317306518555,-88.8387069702148,0.0845864639,0.496,2,North Central,East North Central
Decatur,IL,39.9406585693359,-88.5191116333008,0.0677927956,0.451,2,North Central,East North Central
Burlington,IA,40.6801147460938,-91.4277954101562,0.1022797301,0.502,2,North Central,West North Central
Galesburg,IL,40.5695343017578,-90.2203521728516,0.0885935798,0.509,2,North Central,East North Central
Davenport,IL,41.4243698120117,-90.5065460205078,0.0809443519,0.393,2,North Central,East North Central
Clinton,IA,42.0050468444824,-90.4713363647461,0.1138790026,0.479,2,North Central,West North Central
Peoria,IL,40.542537689209,-89.7173233032227,0.0717817843,0.394,2,North Central,East North Central
Kenosha,WI,42.671745300293,-88.4470291137695,0.0691956431,0.384,2,North Central,East North Central
Milwaukee,WI,43.2040901184082,-88.3217849731445,0.0445706695,0.312,3,North Central,East North Central
Bourbonnais,IL,40.9501686096191,-87.9118118286133,0.0730964467,0.41,2,North Central,East North Central
Chicago,IL,41.7979202270508,-88.1881637573242,0.0649292618,0.201,3,North Central,East North Central
Rockford,IL,41.9806289672852,-89.5600738525391,0.0735386536,0.4,2,North Central,East North Central
Rolla,MO,37.5368385314941,-91.3987579345703,0.0797373354,0.463,2,North Central,West North Central
Farmington,MO,37.7623176574707,-90.2458267211914,0.0852446482,0.368,2,North Central,West North Central
St. Louis,MO,38.4731979370117,-90.7478713989258,0.0505231395,0.241,3,North Central,West North Central
Mexico,MO,39.0269927978516,-91.6614379882812,0.0756756738,0.463,2,North Central,West North Central
Jacksonville,IL,39.7390823364258,-90.4029922485352,0.0911504403,0.472,2,North Central,East North Central
Springfield,IL,39.9170379638672,-89.5787887573242,0.0673715994,0.367,2,North Central,East North Central
Edwardsville,IL,39.0804786682129,-90.1977081298828,0.0872936994,0.336,2,North Central,East North Central
Quincy,IL,39.625057220459,-91.1898193359375,0.0896204859,0.496,2,North Central,East North Central
Mountain Home,AR,36.2963218688965,-92.4921569824219,0.0895061716,0.393,2,South,West South Central
West Plains,MO,37.0019378662109,-91.5573043823242,0.0815548748,0.416,2,North Central,West North Central
Harrison,AR,36.113468170166,-93.2631530761719,0.0997150987,0.419,2,South,West South Central
Heber Springs,AR,35.7785453796387,-92.1270904541016,0.1096006781,0.364,2,South,West South Central
Batesville,AR,35.9889717102051,-91.6276931762695,0.0960288793,0.375,2,South,West South Central
Henderson,KY,37.485294342041,-87.7652893066406,0.099227801,0.401,2,South,East South Central
Union City,TN,36.506534576416,-89.1215896606445,0.073929958,0.403,2,South,East South Central
Paducah,KY,37.0740814208984,-88.6710662841797,0.0744777471,0.378,2,South,East South Central
Murray,KY,36.6015777587891,-88.1674652099609,0.0704545453,0.521,2,South,East South Central
Centralia,IL,38.3731422424316,-89.072021484375,0.0813443735,0.407,2,North Central,East North Central
Carbondale,IL,37.5473556518555,-89.4100799560547,0.0790478364,0.418,2,North Central,East North Central
Harrisburg,IL,37.704460144043,-88.2475967407227,0.1121372059,0.429,2,North Central,East North Central
Cape Girardeau,MO,36.898811340332,-89.6321792602539,0.0600515455,0.436,2,North Central,West North Central
Poplar Bluff,MO,36.8894805908203,-90.4970626831055,0.0668257773,0.401,2,North Central,West North Central
Blytheville,AR,36.0380096435547,-89.9065399169922,0.0514018685,0.475,2,South,West South Central
Jonesboro,AR,36.1401557922363,-90.7039337158203,0.0810322613,0.442,2,South,West South Central
Roseau,MN,48.7619743347168,-95.3607406616211,0.1875,0.533,1,North Central,West North Central
Duluth,MN,47.5231513977051,-92.2538833618164,0.0891148299,0.437,2,North Central,West North Central
West Cook UT,MN,48.0081367492676,-90.2893295288086,0.1016949117,0.588,1,North Central,West North Central
International Falls,MN,48.3436889648438,-93.7525177001953,0.174129352,0.618,1,North Central,West North Central
Moberly,MO,39.6471519470215,-92.274787902832,0.1013727561,0.468,2,North Central,West North Central
Marshall,MO,39.3893966674805,-93.2859725952148,0.0948379338,0.559,2,North Central,West North Central
Brookfield,MO,39.5413818359375,-93.1195678710938,0.1119221374,0.475,1,North Central,West North Central
Trenton,MO,40.2886543273926,-93.5600128173828,0.1083333343,0.497,1,North Central,West North Central
Polk,MO,40.3893051147461,-92.8665390014648,0.0871369317,0.405,1,North Central,West North Central
Centerville,IA,40.8051719665527,-93.1888275146484,0.1467181444,0.517,2,North Central,West North Central
Kirksville,MO,40.3530540466309,-92.505500793457,0.1134380475,0.575,2,North Central,West North Central
Bismarck,ND,46.9527359008789,-101.24137878418,0.186741367,0.541,2,North Central,West North Central
East Grant UT,ND,46.174503326416,-101.601203918457,NA,0.552,1,North Central,West North Central
Linton,ND,46.3125801086426,-100.160751342773,0.2989130318,0.646,1,North Central,West North Central
Steele,ND,46.9510536193848,-99.8482208251953,NA,0.54,1,North Central,West North Central
Devils Lake,ND,48.0773315429688,-98.7287750244141,0.096474953,0.627,1,North Central,West North Central
Carrington,ND,47.5969772338867,-98.8668365478516,0.3333333433,0.656,1,North Central,West North Central
Turtle Mountain UT,ND,48.6522941589355,-99.5281753540039,0.0825545192,0.574,1,North Central,West North Central
Minot,ND,48.4435234069824,-101.18293762207,0.2241784036,0.606,2,North Central,West North Central
Rugby,ND,47.8406753540039,-99.9386520385742,0.219101131,0.665,1,North Central,West North Central
Ekalaka,SD,45.6770401000977,-104.398811340332,0.2297297269,0.665,1,North Central,West North Central
Baker,MT,46.3325843811035,-104.440422058105,0.2127659619,0.713,1,West,Mountain
Bowman,ND,46.3399276733398,-103.425262451172,0.4696969688,0.648,1,North Central,West North Central
Lemmon,ND,45.9655799865723,-102.420112609863,0.3571428657,0.704,1,North Central,West North Central
Scobey,MT,48.7802352905273,-105.599838256836,NA,0.71,1,West,Mountain
Wolf Point,MT,47.9735641479492,-105.277793884277,0.0941883773,0.7,1,West,Mountain
Plentywood,MT,48.6474342346191,-104.65380859375,0.3181818128,0.681,1,West,Mountain
Glasgow,MT,47.9512710571289,-107.298034667969,0.1660649776,0.697,1,West,Mountain
Glendive,MT,47.0760231018066,-104.580238342285,0.2666666806,0.735,1,West,Mountain
Dickinson,ND,47.3269577026367,-102.613540649414,0.329207927,0.659,1,North Central,West North Central
Sidney,ND,47.976993560791,-103.932495117188,0.2505694628,0.637,1,North Central,West North Central
Williston,ND,48.2544097900391,-103.339866638184,0.3383084536,0.702,1,North Central,West North Central
Brookings,SD,44.2527122497559,-97.0456924438477,0.1666666716,0.64,2,North Central,West North Central
Madison,SD,44.0035781860352,-97.3513641357422,0.1843575388,0.632,1,North Central,West North Central
Sioux Falls,SD,43.2444381713867,-96.8639984130859,0.1186331436,0.439,2,North Central,West North Central
Watertown,SD,44.7741546630859,-97.2051086425781,0.1435294151,0.595,2,North Central,West North Central
Milbank,MN,45.4473838806152,-96.5079879760742,0.1702127606,0.65,1,North Central,West North Central
Sisseton,SD,45.5108833312988,-97.1130447387695,0.107066378,0.563,1,North Central,West North Central
East Corson UT,SD,46.0272445678711,-101.020462036133,0.0700280145,0.505,1,North Central,West North Central
Mobridge,SD,45.6210784912109,-100.26685333252,0.1111111119,0.708,1,North Central,West North Central
Aberdeen,SD,45.3348693847656,-98.8909072875977,0.1992687434,0.676,2,North Central,West North Central
Bemidji,MN,47.464656829834,-95.277946472168,0.0952868834,0.449,2,North Central,West North Central
Grafton,ND,48.4641265869141,-97.401252746582,0.2325581461,0.582,2,North Central,West North Central
Thief River Falls,MN,48.2184143066406,-96.7299499511719,0.1787564754,0.534,1,North Central,West North Central
Grand Forks,ND,47.631103515625,-96.8492813110352,0.1279491782,0.613,2,North Central,West North Central
Fargo,ND,46.7821769714355,-96.8047027587891,0.1358173043,0.518,2,North Central,West North Central
Lisbon,ND,46.1610984802246,-97.9004364013672,0.2352941185,0.606,1,North Central,West North Central
Jamestown,ND,46.8599853515625,-98.5546875,0.2240566015,0.667,2,North Central,West North Central
Cooperstown,ND,47.3991737365723,-98.2317657470703,NA,0.615,1,North Central,West North Central
Fergus Falls,MN,45.9277229309082,-95.8051071166992,0.1523076892,0.526,2,North Central,West North Central
Little Falls,MN,46.2309341430664,-94.5944213867188,0.1645569652,0.435,2,North Central,West North Central
O'Neill,NE,42.4437103271484,-98.7092666625977,0.1893491149,0.653,1,North Central,West North Central
Ord,NE,41.712028503418,-99.0196533203125,0.2392344475,0.658,1,North Central,West North Central
Ainsworth,NE,42.5554466247559,-99.7006912231445,0.1920529753,0.67,1,North Central,West North Central
Winner,SD,43.4869003295898,-99.5870895385742,0.1392857134,0.673,1,North Central,West North Central
Yankton,SD,42.8132400512695,-97.7685089111328,0.1712000072,0.583,2,North Central,West North Central
Mitchell,SD,43.7194900512695,-98.2380447387695,0.1338199526,0.641,1,North Central,West North Central
Huron,SD,44.2393493652344,-98.4064025878906,0.1204819307,0.67,1,North Central,West North Central
Parkston,SD,43.1798553466797,-98.4186553955078,0.157107234,0.613,1,North Central,West North Central
Chamberlain,SD,43.847541809082,-99.7316207885742,0.0804195777,0.6,1,North Central,West North Central
Miller,SD,44.5331344604492,-99.2775802612305,0.3150684834,0.697,1,North Central,West North Central
Pierre,SD,44.5327339172363,-100.434280395508,0.0924369767,0.767,1,North Central,West North Central
Gettysburg,SD,45.0510025024414,-100.195465087891,0.3265306056,0.729,1,North Central,West North Central
Willmar,MN,45.0299758911133,-95.7932357788086,0.1247139573,0.549,2,North Central,West North Central
Marshall,MN,44.1432304382324,-96.1117172241211,0.153061226,0.621,2,North Central,West North Central
Sioux Center,IA,43.2065963745117,-96.3176116943359,0.2307692319,0.629,2,North Central,West North Central
Worthington,MN,43.7808990478516,-95.4412689208984,0.1402936429,0.589,2,North Central,West North Central
Spencer,IA,43.2080116271973,-94.7032241821289,0.1850079745,0.598,2,North Central,West North Central
Fairmont,MN,43.5703163146973,-94.3489074707031,0.1287128776,0.576,2,North Central,West North Central
Storm Lake,IA,42.5063896179199,-95.3256225585938,0.1734317392,0.614,2,North Central,West North Central
Fort Dodge,IA,42.4745178222656,-94.1821441650391,0.1300448477,0.572,2,North Central,West North Central
Des Moines,IA,41.6039848327637,-93.9295120239258,0.0910248235,0.384,2,North Central,West North Central
Creston,IA,40.8755035400391,-94.0072784423828,0.1245136186,0.556,2,North Central,West North Central
Atlantic,IA,41.5310440063477,-95.0605239868164,0.1515837163,0.557,2,North Central,West North Central
Carroll,IA,42.0172080993652,-94.8914413452148,0.1672354937,0.611,2,North Central,West North Central
Rapid City,SD,43.9553756713867,-102.985694885254,0.0930329561,0.484,2,North Central,West North Central
Eagle Butte,SD,44.8710060119629,-100.94905090332,0.05111821,0.578,1,North Central,West North Central
Southwest Jackson UT,SD,44.2099189758301,-101.566413879395,0.1103448272,0.669,1,North Central,West North Central
Murdo,SD,43.7982406616211,-100.711044311523,NA,0.715,1,North Central,West North Central
Mission,SD,43.6780586242676,-100.702262878418,0.0242537316,0.465,1,North Central,West North Central
Scottsbluff,NE,42.1022415161133,-103.237144470215,0.1194029823,0.642,2,North Central,West North Central
Cheyenne,WY,41.2267875671387,-103.619277954102,0.0956375822,0.564,2,West,Mountain
Torrington,WY,42.0708351135254,-104.755416870117,0.171581775,0.624,1,West,Mountain
Gordon,SD,42.9795875549316,-102.420791625977,0.0319488831,0.588,1,North Central,West North Central
Virginia Beach,NE,42.0407600402832,-97.6046447753906,0.1516079605,0.614,2,North Central,West North Central
Columbus,NE,41.4536361694336,-97.6625366210938,0.1691842973,0.581,2,North Central,West North Central
Hastings,NE,40.3708229064941,-98.4005584716797,0.1111111119,0.599,2,North Central,West North Central
York,NE,41.0392227172852,-97.6013412475586,0.1868131906,0.628,1,North Central,West North Central
Grand Island,NE,41.1507186889648,-98.0804901123047,0.1420996785,0.561,2,North Central,West North Central
Sioux City,IA,42.4197807312012,-96.4562072753906,0.1125235409,0.454,2,North Central,West North Central
West Point,NE,41.9670219421387,-96.3958435058594,0.100386098,0.551,1,North Central,West North Central
Lincoln,NE,40.5198974609375,-96.8775787353516,0.0913167521,0.434,2,North Central,West North Central
Nebraska City,NE,40.315299987793,-95.7429656982422,0.1583514065,0.514,2,North Central,West North Central
Red Oak,IA,40.838794708252,-95.2053680419922,0.1242138371,0.55,2,North Central,West North Central
Omaha,NE,41.3732566833496,-96.0118179321289,0.0775407478,0.349,3,North Central,West North Central
