carat,cut,color,clarity,depth,table,price,x,y,z
1.11,Ideal,H,SI1,62.7,56.0,5386,6.65,6.59,4.15
1.05,Ideal,I,VS1,61.5,55.0,5101,6.56,6.61,4.05
1.2,Ideal,H,VS2,60.8,55.0,7190,6.9,6.85,4.18
1.51,Fair,G,VS2,58.1,67.0,10553,7.59,7.49,4.38
1.09,Very Good,H,SI1,63.2,57.0,4871,6.57,6.54,4.14
0.3,Premium,E,VS2,62.0,58.0,844,4.29,4.26,2.65
0.3,Very Good,G,VVS2,63.0,57.0,684,4.28,4.32,2.71
0.51,Premium,D,SI1,60.1,60.0,1569,5.15,5.17,3.1
0.46,Very Good,F,SI2,61.6,55.0,859,4.98,5.02,3.08
1.07,Ideal,E,SI2,61.2,56.0,4799,6.63,6.66,4.07
0.36,Premium,E,SI1,62.2,59.0,756,4.57,4.53,2.83
1.13,Very Good,D,SI2,62.3,60.0,5408,6.59,6.7,4.14
0.53,Ideal,I,VS1,62.3,56.0,1427,5.19,5.23,3.24
0.54,Premium,E,SI1,62.2,58.0,1637,5.26,5.23,3.26
0.6,Premium,H,VS1,60.8,59.0,2376,5.49,5.43,3.32
0.3,Ideal,D,VS2,61.3,56.0,670,4.32,4.36,2.66
0.36,Premium,F,SI1,61.6,60.0,600,4.54,4.61,2.82
0.42,Ideal,I,VVS1,60.2,57.0,884,4.85,4.88,2.93
1.01,Very Good,F,VS2,63.2,59.0,6540,6.3,6.36,4.0
0.57,Ideal,H,SI1,61.3,54.0,1292,5.34,5.39,3.29
0.94,Very Good,E,SI1,61.8,56.0,4661,6.29,6.33,3.9
1.03,Ideal,F,VVS2,61.1,57.0,10049,6.51,6.54,3.99
0.32,Ideal,H,VVS2,61.8,55.0,645,4.38,4.42,2.72
0.3,Very Good,G,VVS1,63.1,58.0,1013,4.31,4.28,2.71
1.09,Very Good,F,SI1,62.3,57.0,5570,6.55,6.61,4.1
1.56,Good,F,SI2,57.5,58.0,9784,7.82,7.67,4.45
0.51,Premium,G,VS1,62.2,58.0,1662,5.11,5.09,3.17
0.26,Ideal,F,VVS1,61.6,57.0,769,4.1,4.08,2.52
2.39,Premium,H,SI1,60.6,58.0,16687,8.65,8.58,5.22
0.75,Ideal,E,SI1,61.5,56.0,2652,5.88,5.84,3.6
1.53,Premium,J,VS1,62.8,59.0,8205,7.34,7.31,4.6
0.89,Fair,I,VS1,68.2,65.0,2334,5.82,5.74,3.94
0.34,Ideal,E,SI1,61.4,55.0,765,4.54,4.48,2.77
0.53,Premium,F,VS2,61.9,58.0,1753,5.2,5.17,3.21
0.31,Very Good,G,VS1,63.3,56.0,802,4.33,4.29,2.73
0.72,Ideal,D,VS2,60.9,55.0,3236,5.77,5.89,3.55
1.0,Fair,F,SI1,56.5,60.0,4679,6.62,6.66,3.75
1.01,Premium,H,SI1,61.8,59.0,4965,6.41,6.37,3.95
1.02,Fair,E,VS2,66.6,57.0,5350,6.09,6.14,4.07
0.31,Ideal,G,VS1,60.6,58.0,587,4.39,4.42,2.67
0.57,Good,H,SI1,63.1,54.0,1218,5.28,5.3,3.34
1.51,Good,I,SI2,63.6,60.0,7957,7.27,7.23,4.61
1.51,Very Good,E,SI1,63.5,57.0,10891,7.28,7.23,4.61
1.21,Good,E,I1,63.3,63.0,3726,6.67,6.72,4.24
0.72,Ideal,H,VVS2,62.3,56.0,2752,5.74,5.81,3.6
1.11,Good,D,SI2,60.1,63.0,4877,6.68,6.7,4.02
0.5,Ideal,E,VS2,62.5,57.0,1629,5.1,5.04,3.17
0.8,Ideal,D,SI2,61.9,54.0,3154,6.0,5.95,3.7
0.41,Good,F,VS2,63.2,57.0,863,4.74,4.76,3.0
0.3,Premium,H,VVS2,62.9,57.0,776,4.31,4.28,2.7
0.33,Very Good,D,VS1,60.1,59.0,696,4.46,4.49,2.69
1.51,Good,E,SI2,63.2,56.0,9833,7.26,7.32,4.61
0.86,Very Good,G,SI1,62.9,55.0,3293,6.04,6.08,3.81
1.01,Very Good,F,SI1,62.4,59.0,5861,6.37,6.42,3.99
1.2,Ideal,G,SI1,60.5,56.0,5996,6.84,6.87,4.15
0.32,Ideal,E,VS2,60.2,57.0,960,4.51,4.46,2.7
1.01,Very Good,G,SI1,63.5,60.0,4271,6.41,6.38,3.92
0.3,Ideal,D,VS2,61.6,57.0,710,4.3,4.33,2.66
1.09,Ideal,H,SI1,62.3,55.0,5125,6.58,6.61,4.11
0.63,Ideal,J,SI2,61.4,54.0,1065,5.54,5.56,3.41
0.3,Ideal,F,VVS1,61.5,58.0,814,4.3,4.32,2.65
0.93,Ideal,E,SI1,62.8,56.0,4229,6.24,6.19,3.9
1.5,Premium,F,VVS2,58.8,58.0,17203,7.51,7.43,4.39
1.01,Very Good,E,VS1,60.4,60.0,8403,6.43,6.48,3.9
1.5,Ideal,G,VS2,62.5,55.0,12787,7.26,7.23,4.53
0.32,Ideal,F,VVS2,62.1,56.0,741,4.4,4.46,2.75
0.79,Very Good,G,SI2,63.4,60.0,1809,5.83,5.77,3.68
0.63,Very Good,G,VS1,59.9,57.0,2241,5.57,5.62,3.35
0.54,Ideal,H,VS1,61.8,56.0,1709,5.21,5.25,3.23
0.57,Ideal,D,VVS1,61.6,56.0,3126,5.33,5.35,3.29
1.01,Fair,D,SI2,65.3,55.0,4205,6.33,6.19,4.09
0.55,Ideal,E,SI2,62.0,56.0,1273,5.27,5.22,3.25
0.29,Very Good,G,VS1,58.1,59.0,660,4.39,4.42,2.56
0.84,Very Good,G,VS2,61.8,57.0,3596,6.04,6.07,3.74
1.31,Premium,G,SI1,62.2,56.0,7358,7.02,6.97,4.35
0.42,Very Good,G,SI2,59.5,61.0,573,4.85,4.9,2.9
0.35,Ideal,H,VVS2,62.5,57.0,706,4.48,4.54,2.82
0.5,Ideal,D,VS1,61.9,55.0,1937,5.09,5.12,3.16
0.83,Very Good,F,VS1,63.3,56.0,3603,5.99,5.92,3.77
1.0,Good,H,VS2,60.9,61.0,5254,6.38,6.42,3.9
1.16,Ideal,G,IF,62.3,55.0,9901,6.73,6.79,4.21
0.78,Ideal,H,VVS2,62.1,56.0,3581,5.88,5.9,3.66
0.41,Very Good,H,VS1,62.0,56.0,827,4.74,4.78,2.95
1.51,Premium,G,SI2,62.7,57.0,7145,7.33,7.29,4.58
0.24,Premium,E,VVS1,60.6,59.0,668,4.02,4.0,2.43
0.55,Ideal,E,VS2,61.5,57.0,1665,5.25,5.29,3.24
0.7,Very Good,E,SI2,62.0,59.0,2263,5.61,5.68,3.5
1.5,Ideal,I,VS1,60.5,56.0,9533,7.38,7.46,4.49
0.46,Very Good,D,VVS1,62.2,56.0,1778,4.94,4.97,3.08
1.01,Very Good,G,VS2,63.1,60.0,6108,6.36,6.31,4.0
1.36,Ideal,F,VVS2,61.6,56.0,12608,7.17,7.08,4.39
0.3,Ideal,E,VS2,61.8,55.0,844,4.35,4.33,2.68
0.3,Ideal,D,VS1,62.2,56.0,651,4.27,4.31,2.67
0.57,Premium,E,SI1,61.4,58.0,1608,5.28,5.34,3.26
1.42,Good,F,VS2,63.7,57.0,9542,7.08,6.99,4.48
0.3,Premium,D,SI1,62.5,59.0,520,4.26,4.22,2.65
0.59,Premium,F,SI1,61.7,60.0,1412,5.37,5.39,3.32
0.5,Ideal,E,VS2,61.4,55.0,1614,5.12,5.14,3.15
1.0,Ideal,G,VS2,62.4,59.0,6377,6.36,6.4,3.98
0.3,Ideal,E,VS2,61.7,55.0,844,4.32,4.3,2.66
0.84,Very Good,G,VS2,62.0,56.0,3535,6.07,6.09,3.77
0.63,Very Good,F,VS1,59.2,57.0,2149,5.56,5.66,3.32
0.71,Ideal,G,SI1,61.4,57.0,2386,5.76,5.71,3.52
1.57,Premium,D,SI2,62.9,61.0,9875,7.41,7.37,4.65
0.52,Ideal,E,VS2,61.4,54.0,1694,5.23,5.2,3.2
1.09,Ideal,J,SI1,61.4,55.0,4565,6.61,6.67,4.08
1.02,Premium,F,SI2,62.0,59.0,4238,6.42,6.33,3.95
0.31,Ideal,I,VS2,61.6,57.0,452,4.36,4.4,2.7
0.76,Premium,E,VS2,60.1,59.0,3192,6.01,5.97,3.6
0.31,Ideal,G,VVS2,62.7,57.0,907,4.34,4.31,2.71
0.33,Ideal,D,SI2,62.4,56.0,631,4.44,4.41,2.76
0.7,Ideal,I,VS2,62.1,54.6,2240,5.68,5.72,3.54
0.3,Good,D,SI1,63.4,56.0,552,4.26,4.29,2.71
0.57,Premium,G,VS1,61.0,57.0,1819,5.4,5.35,3.28
0.64,Very Good,G,VS1,60.4,62.0,2060,5.54,5.58,3.36
1.02,Very Good,G,SI1,61.3,56.0,5291,6.43,6.53,3.97
1.22,Premium,I,VS1,61.1,58.0,6121,6.91,6.84,4.2
0.32,Good,G,VS2,63.3,54.0,561,4.36,4.39,2.77
0.31,Premium,G,VVS1,62.1,59.0,1046,4.35,4.32,2.69
0.52,Ideal,I,VS2,62.3,54.0,1152,5.17,5.2,3.23
0.7,Ideal,G,SI1,61.9,58.0,2310,5.69,5.72,3.53
0.6,Very Good,D,SI1,62.2,56.0,1896,5.4,5.44,3.37
0.51,Very Good,E,VS1,61.8,54.7,1970,5.12,5.15,31.8
1.05,Premium,F,SI2,62.8,55.0,4363,6.55,6.48,4.09
0.72,Ideal,G,VS2,61.5,55.0,2952,5.76,5.79,3.55
0.8,Good,F,VS2,63.2,55.0,3429,5.88,5.9,3.72
1.11,Ideal,J,SI2,61.7,57.0,4092,6.63,6.69,4.11
0.97,Fair,G,I1,57.2,60.0,1547,6.59,6.36,3.72
0.35,Premium,H,SI1,62.4,58.0,504,4.47,4.54,2.81
0.36,Premium,D,VS2,60.3,58.0,727,4.63,4.66,2.8
0.75,Ideal,E,VS2,61.6,57.0,2940,5.84,5.81,3.59
0.9,Premium,I,VS2,62.8,61.0,3246,6.12,6.02,3.81
0.74,Ideal,F,SI1,62.2,54.0,2583,5.79,5.85,3.62
1.7,Ideal,G,VS1,62.9,57.0,13605,7.59,7.52,4.75
0.32,Premium,G,VS2,60.7,58.0,720,4.42,4.38,2.67
0.3,Ideal,G,VS1,61.5,56.0,776,4.34,4.28,2.65
0.81,Ideal,E,SI2,61.0,56.0,3015,5.99,6.05,3.67
1.02,Premium,H,VS1,62.1,59.0,5469,6.38,6.43,3.98
2.01,Good,I,SI2,56.9,59.0,11312,8.41,8.3,4.74
1.01,Good,G,SI1,63.6,58.0,4195,6.29,6.35,4.02
0.78,Very Good,E,VS1,61.5,60.0,3898,5.86,5.92,3.62
0.55,Ideal,E,VS1,62.2,55.0,1975,5.22,5.26,3.26
1.01,Ideal,I,SI2,62.5,57.0,4336,6.38,6.45,4.01
0.94,Premium,E,SI1,60.0,58.0,4661,6.37,6.44,3.84
1.09,Premium,G,VVS2,59.5,61.0,8454,6.74,6.7,4.0
1.51,Premium,H,I1,60.9,56.0,4404,7.38,7.26,4.46
1.0,Premium,G,SI2,61.8,59.0,4368,6.38,6.33,3.93
0.7,Ideal,G,SI1,61.6,55.0,3145,5.71,5.76,3.53
1.21,Ideal,F,SI2,61.8,57.0,5996,6.82,6.87,4.23
0.51,Ideal,F,VS2,62.8,57.0,1619,5.1,5.06,3.19
0.32,Ideal,E,VS2,62.2,55.0,702,4.37,4.38,2.72
0.51,Ideal,D,VS2,61.8,54.0,1623,5.12,5.17,3.18
1.5,Premium,J,VS2,59.6,60.0,7503,7.38,7.31,4.38
0.23,Very Good,E,VVS2,58.0,60.0,465,4.04,4.07,2.35
0.41,Very Good,E,VS1,62.2,58.0,954,4.74,4.78,2.96
0.76,Premium,E,VVS2,60.6,59.0,3767,5.94,5.85,3.57
0.3,Premium,H,SI2,60.2,62.0,410,4.37,4.34,2.62
1.26,Ideal,J,SI2,62.5,53.0,4742,6.9,6.86,4.3
0.32,Premium,H,SI1,62.6,55.0,591,4.38,4.37,2.74
0.34,Ideal,G,VVS1,61.7,56.0,863,4.5,4.55,2.79
0.32,Very Good,G,VVS1,61.9,58.0,842,4.36,4.39,2.71
0.76,Premium,E,SI1,60.4,58.0,2789,5.92,5.94,3.58
0.43,Ideal,E,SI2,61.9,57.0,919,4.86,4.83,3.0
0.53,Ideal,F,VVS1,60.9,57.0,2830,5.23,5.29,3.19
0.56,Ideal,H,VS2,61.7,54.0,1427,5.31,5.33,3.28
0.34,Ideal,H,SI1,61.4,55.0,440,4.51,4.55,2.78
0.32,Premium,E,VVS1,60.8,59.0,814,4.43,4.45,2.7
0.5,Good,G,VVS2,61.2,63.3,1690,5.06,5.08,3.1
0.76,Fair,G,VS1,59.0,70.0,2800,5.89,5.8,3.46
0.73,Premium,F,VS2,59.9,58.0,2933,5.84,5.87,3.51
0.31,Ideal,E,VS1,61.6,55.0,871,4.37,4.39,2.7
0.7,Very Good,I,VS1,61.4,57.0,2405,5.71,5.74,3.52
0.55,Very Good,E,VVS2,60.6,56.0,2499,5.33,5.36,3.24
0.63,Ideal,H,SI2,61.7,55.0,1196,5.51,5.56,3.41
0.51,Very Good,G,VVS2,62.9,57.0,1750,5.06,5.12,3.2
1.04,Premium,E,SI2,61.6,59.0,4240,6.57,6.55,4.04
0.29,Very Good,H,SI2,60.7,60.0,404,4.33,4.37,2.64
1.51,Premium,F,VS2,61.9,59.0,14334,7.31,7.39,4.55
0.33,Ideal,G,VS1,62.4,56.0,854,4.45,4.43,2.77
0.31,Ideal,G,VS2,62.1,54.0,511,4.34,4.36,2.7
0.73,Very Good,J,VS2,62.7,57.0,2101,5.71,5.74,3.59
0.53,Ideal,G,SI1,62.7,55.0,1308,5.15,5.19,3.24
0.37,Premium,D,VVS1,61.4,58.0,1069,4.63,4.65,2.85
0.33,Ideal,D,SI1,60.9,56.0,736,4.46,4.5,2.73
1.01,Very Good,J,SI2,62.8,59.0,3906,6.34,6.37,3.99
1.59,Very Good,D,SI2,59.9,59.0,10685,7.6,7.52,4.53
0.74,Ideal,F,VS1,62.3,57.0,3170,5.79,5.77,3.6
1.07,Ideal,E,SI2,62.4,57.0,4698,6.55,6.52,4.08
0.58,Ideal,G,VS2,61.1,55.0,1641,5.45,5.42,3.32
1.12,Ideal,G,VVS2,62.5,56.0,8592,6.59,6.66,4.14
0.32,Premium,E,SI1,61.2,58.0,524,4.37,4.42,2.69
0.5,Good,G,VS2,63.2,57.0,1410,4.99,5.04,3.17
0.53,Ideal,E,SI1,60.9,57.0,1769,5.21,5.24,3.18
2.02,Premium,I,VS2,61.2,60.0,11059,8.22,8.13,5.0
1.25,Very Good,G,SI2,61.4,59.0,6399,6.97,6.93,4.27
0.36,Ideal,G,SI2,62.3,54.0,505,4.57,4.61,2.86
0.3,Very Good,H,VVS1,63.4,55.0,878,4.3,4.28,2.72
0.42,Good,D,SI2,60.7,61.0,617,4.78,4.84,2.92
1.08,Very Good,H,VVS1,63.1,57.0,6623,6.57,6.52,4.13
0.7,Good,E,VS1,59.8,62.0,2973,5.74,5.8,3.45
0.3,Very Good,G,VS1,62.9,58.0,605,4.27,4.32,2.7
1.0,Premium,E,VS2,60.0,60.0,6600,6.43,6.43,3.89
1.01,Ideal,I,VS1,62.5,59.0,5022,6.33,6.41,3.98
1.0,Very Good,F,SI1,63.2,54.0,4088,6.3,6.23,3.96
0.35,Ideal,E,VVS1,62.1,57.0,1195,4.52,4.55,2.81
0.32,Premium,E,IF,61.6,58.0,1095,4.38,4.39,2.7
0.7,Good,E,VS2,64.2,60.0,2394,5.58,5.64,3.6
1.5,Premium,F,VS2,60.9,60.0,13853,7.42,7.35,4.5
0.41,Very Good,H,VVS2,61.3,54.0,839,4.75,4.87,2.95
0.34,Ideal,H,VS1,62.3,55.0,765,4.48,4.45,2.78
0.42,Ideal,D,VVS1,61.6,56.0,1621,4.82,4.79,2.96
0.71,Very Good,D,VS1,62.9,56.0,3465,5.65,5.7,3.57
0.34,Good,H,SI1,63.3,56.0,490,4.45,4.46,2.82
0.51,Ideal,G,VS1,60.2,56.0,1632,5.18,5.24,3.14
0.26,Ideal,H,VVS2,62.5,54.0,508,4.11,4.14,2.58
1.51,Premium,I,VS1,62.3,60.0,9467,7.28,7.32,4.55
1.0,Premium,G,SI1,60.8,58.0,4816,6.48,6.45,3.93
0.3,Very Good,F,SI2,62.6,61.0,394,4.2,4.24,2.64
0.7,Good,I,VS2,57.1,61.0,2010,5.9,5.93,3.38
0.42,Premium,F,VS1,59.8,57.0,985,4.89,4.85,2.91
0.36,Ideal,G,VS1,61.6,56.0,726,4.56,4.59,2.82
0.72,Ideal,F,VS1,62.0,56.0,2879,5.76,5.73,3.56
0.33,Very Good,I,SI1,63.2,58.0,572,4.38,4.36,2.76
0.58,Very Good,F,SI1,59.9,58.0,1401,5.35,5.4,3.22
2.3,Ideal,G,SI2,61.4,57.0,14744,8.51,8.48,5.22
1.21,Premium,H,VS2,60.5,60.0,6722,6.95,6.9,4.19
0.32,Very Good,E,VS2,60.5,55.0,702,4.43,4.49,2.7
0.9,Premium,E,VS1,59.4,59.0,5438,6.31,6.28,3.74
0.31,Ideal,G,VS2,61.7,57.0,698,4.36,4.33,2.68
0.33,Ideal,F,VVS1,61.8,57.0,1021,4.46,4.44,2.75
0.3,Premium,G,VS1,62.8,58.0,776,4.28,4.26,2.68
0.31,Ideal,F,IF,61.4,56.0,1168,4.37,4.42,2.7
1.23,Premium,J,VS2,62.7,58.0,4856,6.81,6.77,4.26
0.71,Very Good,J,SI2,60.9,55.0,1986,5.76,5.87,3.54
0.73,Ideal,H,VS2,62.7,55.0,2793,5.72,5.76,3.6
0.51,Very Good,E,VS2,61.8,58.0,1640,5.13,5.07,3.15
1.01,Very Good,F,VS1,62.5,60.0,7079,6.36,6.41,3.99
0.57,Very Good,F,VS2,62.0,54.0,1637,5.31,5.34,3.3
0.31,Premium,G,SI1,61.8,60.0,462,4.32,4.35,2.68
0.31,Premium,G,VS2,59.8,60.0,544,4.4,4.43,2.64
0.3,Good,H,VVS2,63.7,55.0,776,4.27,4.24,2.71
0.76,Ideal,D,SI2,62.2,57.0,2682,5.83,5.85,3.63
0.5,Very Good,F,SI2,62.9,57.0,1020,5.02,5.06,3.17
0.7,Ideal,F,SI1,61.2,56.0,2161,5.72,5.78,3.52
1.72,Good,F,SI1,63.2,61.0,13499,7.57,7.62,4.8
0.9,Very Good,E,VVS2,62.0,55.0,6466,6.08,6.17,3.8
0.9,Very Good,H,VS2,60.0,56.0,4255,6.3,6.34,3.79
0.31,Good,D,SI2,63.6,54.0,593,4.34,4.31,2.75
1.34,Ideal,H,SI1,62.4,54.0,7659,7.05,7.08,4.41
1.15,Ideal,J,VS1,61.5,55.0,5152,6.81,6.76,4.17
0.31,Ideal,H,VS1,62.2,57.0,698,4.37,4.34,2.71
0.38,Ideal,E,IF,61.1,56.0,1433,4.67,4.72,2.87
1.02,Good,H,SI1,57.1,61.0,4093,6.57,6.66,3.78
1.05,Very Good,I,VS2,63.2,56.0,4895,6.47,6.51,4.1
0.7,Very Good,E,VS2,61.8,59.0,2845,5.65,5.68,3.5
0.31,Ideal,F,VS2,60.8,57.0,749,4.41,4.38,2.67
0.91,Premium,E,VS2,62.3,58.0,5055,6.21,6.15,3.85
0.54,Ideal,H,VVS2,61.6,56.0,1639,5.24,5.27,3.24
0.3,Very Good,G,VS1,63.5,58.0,725,4.26,4.21,2.69
1.01,Premium,F,VS1,61.2,59.0,7982,6.48,6.42,3.95
1.31,Ideal,H,VS1,61.5,55.0,8429,7.02,7.05,4.33
1.0,Premium,F,SI1,62.1,59.0,5152,6.39,6.36,3.96
0.46,Premium,E,VS1,61.7,59.0,1372,4.93,4.96,3.05
0.31,Premium,G,IF,61.4,59.0,924,4.34,4.39,2.68
0.31,Very Good,G,VVS1,63.5,57.0,1046,4.33,4.3,2.74
0.52,Very Good,E,SI1,62.8,56.0,1389,5.13,5.15,3.23
0.53,Ideal,D,SI1,62.0,55.0,1753,5.24,5.22,3.24
0.4,Ideal,E,SI1,62.2,54.0,673,4.74,4.78,2.96
0.72,Very Good,J,SI1,63.0,58.0,1989,5.67,5.7,3.58
0.37,Ideal,D,VS2,61.1,54.0,763,4.63,4.66,2.84
2.01,Premium,J,SI2,60.8,57.2,13133,8.13,8.15,4.95
1.21,Good,E,VS1,61.7,58.0,8902,6.73,6.78,4.17
1.01,Very Good,I,SI2,61.5,62.0,3299,6.37,6.41,3.93
0.7,Very Good,G,SI1,61.7,57.0,2010,5.65,5.8,3.53
1.79,Premium,G,SI1,60.5,58.0,14127,7.88,7.83,4.75
1.2,Premium,G,IF,59.4,61.0,10169,6.95,6.92,4.12
1.09,Very Good,H,SI1,61.7,59.0,4849,6.53,6.59,4.05
0.43,Very Good,H,VS2,61.9,55.0,792,4.8,4.95,3.02
1.5,Very Good,G,SI2,63.1,57.0,9384,7.29,7.25,4.59
0.4,Ideal,G,IF,61.1,56.0,1257,4.76,4.79,2.92
0.25,Ideal,I,VS2,62.0,57.0,450,4.02,4.06,2.5
1.29,Premium,I,VS2,62.2,57.0,6279,7.01,6.97,4.35
0.37,Good,D,SI1,63.7,55.0,874,4.59,4.55,2.91
0.75,Premium,D,SI1,59.2,58.0,3024,5.96,5.93,3.52
0.43,Very Good,E,VVS1,61.9,56.0,1433,4.81,4.85,2.99
0.23,Very Good,G,VVS2,62.6,54.0,431,3.91,3.95,2.46
1.32,Ideal,I,SI1,61.7,56.0,5544,7.11,7.05,4.37
1.0,Very Good,E,VVS2,63.5,55.0,8910,6.36,6.31,4.02
1.56,Very Good,I,VS1,58.2,59.0,10523,7.65,7.7,4.47
1.2,Ideal,G,VS1,62.3,56.0,8596,6.82,6.77,4.23
0.7,Very Good,G,VS1,62.9,59.0,2212,5.56,5.63,3.52
1.22,Good,H,SI2,61.5,64.0,4782,6.93,6.87,4.25
0.32,Ideal,F,VS1,61.6,57.0,716,4.39,4.42,2.71
0.9,Fair,F,VS2,64.7,54.0,3931,6.09,6.03,3.92
2.01,Very Good,E,SI2,60.6,59.0,17118,8.11,8.25,4.96
1.56,Ideal,I,VS2,61.8,56.0,10333,7.41,7.45,4.59
0.52,Ideal,G,VVS1,61.6,55.0,2063,5.14,5.18,3.18
0.9,Very Good,F,SI2,62.6,56.0,3368,6.13,6.17,3.85
0.54,Ideal,D,VVS1,61.2,57.0,3494,5.25,5.27,3.22
0.28,Ideal,E,VVS2,60.8,55.0,787,4.26,4.29,2.6
0.35,Ideal,E,VS2,62.0,55.0,984,4.54,4.52,2.81
0.96,Fair,G,SI2,66.8,61.0,2539,6.15,6.04,4.07
0.32,Ideal,D,VS2,62.7,57.0,758,4.4,4.44,2.77
1.2,Very Good,F,VS2,61.1,59.0,8436,6.81,6.87,4.18
0.34,Ideal,D,VS2,60.8,57.0,730,4.52,4.56,2.76
1.03,Ideal,G,VVS1,62.4,57.0,8454,6.39,6.47,4.01
1.51,Fair,D,VS2,66.0,57.0,15152,7.17,7.08,4.7
0.3,Ideal,F,VVS1,62.1,55.0,868,4.31,4.32,2.68
0.54,Very Good,D,SI1,62.1,58.0,1662,5.21,5.23,3.24
0.28,Ideal,H,VVS2,61.2,55.0,514,4.18,4.22,2.57
0.3,Ideal,D,SI1,61.4,55.0,552,4.29,4.34,2.65
1.57,Premium,G,SI2,61.1,61.0,8572,7.46,7.43,4.55
0.9,Ideal,G,SI1,61.6,57.0,3931,6.24,6.17,3.82
1.0,Good,E,SI1,63.1,64.0,4435,6.31,6.25,3.96
1.53,Fair,J,VS2,64.7,58.0,6659,7.24,7.22,4.68
0.51,Premium,G,SI1,62.0,59.0,1053,5.12,5.1,3.17
0.32,Premium,G,VS2,62.0,59.0,720,4.41,4.37,2.72
0.41,Ideal,F,VS2,61.8,56.0,863,4.76,4.79,2.95
0.5,Premium,F,VS2,60.9,58.0,1436,5.1,5.14,3.12
1.42,Ideal,J,VS2,61.7,56.0,7942,7.22,7.27,4.47
0.83,Premium,E,VS2,61.3,59.0,3625,6.08,6.02,3.71
1.01,Very Good,E,VVS2,63.4,57.0,8797,6.45,6.33,4.05
1.51,Premium,I,SI2,62.6,59.0,7162,7.28,7.31,4.57
0.51,Premium,F,SI1,59.4,60.0,1308,5.19,5.21,3.09
1.73,Premium,H,SI1,61.8,57.0,12931,7.77,7.64,4.76
0.31,Good,I,VS1,63.9,56.0,489,4.28,4.3,2.74
0.31,Premium,I,VS2,62.3,60.0,435,4.31,4.32,2.69
1.34,Premium,E,VS2,58.2,60.0,8480,7.26,7.21,4.21
0.57,Ideal,H,VS2,61.6,57.0,1655,5.35,5.37,3.3
0.7,Ideal,F,VS2,61.8,54.0,2671,5.68,5.71,3.52
0.41,Very Good,I,VVS1,63.5,58.0,845,4.7,4.75,3.0
0.3,Ideal,G,VS1,62.8,57.0,776,4.29,4.25,2.68
0.63,Premium,E,VS1,61.8,60.0,2064,5.51,5.49,3.4
0.33,Premium,H,VS1,61.9,58.0,743,4.45,4.43,2.75
1.44,Good,G,VS1,63.6,58.0,9677,7.01,6.96,4.44
0.59,Ideal,E,SI1,61.6,55.0,1994,5.41,5.43,3.34
1.01,Ideal,F,VS1,60.7,57.0,7792,6.52,6.49,3.95
1.01,Premium,G,SI1,62.5,60.0,4588,6.34,6.39,3.98
0.71,Premium,I,VS2,59.3,59.0,2300,5.89,5.81,3.47
1.1,Very Good,I,SI2,62.6,59.0,4192,6.53,6.57,4.1
0.3,Premium,D,VS2,61.9,58.0,911,4.32,4.28,2.66
1.22,Ideal,G,VVS1,61.5,56.0,12081,6.86,6.9,4.23
0.33,Ideal,E,VS2,61.1,56.0,723,4.45,4.48,2.73
0.9,Ideal,E,VS1,61.7,56.0,6230,6.19,6.22,3.83
1.2,Premium,D,SI2,60.2,60.0,4203,6.94,6.81,4.14
0.91,Good,I,SI1,64.2,59.0,2700,6.05,5.98,3.86
1.32,Premium,G,VS1,60.6,57.0,9979,7.14,7.09,4.31
1.23,Very Good,J,VS2,62.9,58.0,5217,6.75,6.83,4.27
0.72,Ideal,H,VS1,61.6,59.0,2642,5.75,5.78,3.55
1.51,Very Good,I,VS1,63.0,59.0,9343,7.28,7.3,4.59
0.56,Good,F,VS1,63.2,61.0,1712,5.2,5.28,3.3
0.32,Premium,D,VS2,62.0,57.0,972,4.42,4.38,2.73
0.92,Good,H,VS1,62.3,63.0,4116,6.18,6.3,3.88
0.51,Premium,G,VS1,62.1,58.0,1662,5.12,5.09,3.17
0.7,Fair,H,SI1,65.3,55.0,1865,5.58,5.54,3.63
0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44
0.57,Ideal,E,VS1,61.8,55.0,2192,5.34,5.39,3.32
1.0,Premium,G,VS2,63.0,58.0,6048,6.4,6.33,4.01
0.91,Good,F,SI1,58.0,57.0,4067,6.36,6.47,3.72
0.74,Good,E,SI1,62.8,61.0,2906,5.74,5.76,3.61
1.51,Fair,E,SI1,58.4,70.0,11102,7.55,7.39,4.36
0.53,Very Good,E,VVS2,62.3,55.0,2280,5.18,5.22,3.23
0.7,Good,I,SI1,58.2,61.0,2028,5.8,5.84,3.39
0.44,Ideal,D,VS2,60.4,56.0,1081,4.91,4.95,2.98
0.9,Ideal,F,VS2,62.7,56.0,4678,6.17,6.2,3.88
0.23,Very Good,G,VVS1,61.5,56.0,484,3.92,3.96,2.42
0.58,Ideal,E,VS2,61.7,57.0,1683,5.35,5.42,3.32
0.31,Ideal,F,IF,62.3,54.0,914,4.33,4.37,2.71
0.71,Very Good,G,VS1,63.3,56.0,2494,5.67,5.64,3.58
1.52,Very Good,I,SI1,59.9,60.0,9290,7.46,7.49,4.48
1.01,Very Good,E,SI1,62.4,58.0,5229,6.36,6.4,3.99
0.42,Ideal,D,SI1,61.9,56.0,810,4.82,4.84,2.99
0.55,Ideal,F,VS2,62.1,55.0,1871,5.27,5.25,3.26
