usid,term,chief,name,issue,issue_description,liberal_flag,precedent
360US109,1958,Warren,BARENBLATT v. UNITED STATES,30050,legislative investigations: concerning internal security only,0,0
360US167,1958,Warren,"HARRISON, ATTORNEY GENERAL OF VIRGINIA, et al. v. NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE et al.",90010,comity: civil rights,0,0
360US185,1958,Warren,COUNTY OF ALLEGHENY v. FRANK MASHUDA CO. et al.,90090,"comity primarily removal cases, civil procedure (cf. comity, criminal and First Amendment); deference to foreign judicial tribunals",1,0
360US230,1958,Warren,MILLS et al. v. LOUISIANA,10110,"self-incrimination, immunity from prosecution",0,0
360US252,1958,Warren,BURNS v. OHIO,20350,indigents: costs or filing fees,1,0
360US264,1958,Warren,NAPUE v. ILLINOIS,10200,extra-legal jury influences: prejudicial statements or evidence,1,0
360US315,1958,Warren,SPANO v. NEW YORK,10010,involuntary confession,1,0
360US378,1958,Warren,ATLANTIC REFINING CO. et al. v. PUBLIC SERVICE COMMISSION OF NEW YORK et al.,80300,federal and some few state regulation of public utilities regulation: gas producer,1,0
360US395,1958,Warren,PITTSBURGH PLATE GLASS CO. v. UNITED STATES,10160,"discovery and inspection (in the context of criminal litigation only, otherwise Freedom of Information Act and related federal or state statutes or regulations)",0,0
360US423,1958,Warren,RALEY et al. v. OHIO,30050,legislative investigations: concerning internal security only,1,0
360US474,1958,Warren,GREENE v. MCELROY et al.,30120,security risks: denial of benefits or dismissal of employees for reasons other than failure to meet loyalty oath requirements,1,0
360US564,1958,Warren,BARR v. MATTEO et al.,80140,"corruption, governmental or governmental regulation of other than as in campaign spending",0,0
360US593,1958,Warren,HOWARD v. LYONS et al.,80140,"corruption, governmental or governmental regulation of other than as in campaign spending",0,0
360US601,1958,Warren,UNION PACIFIC RAILROAD CO. v. PRICE,80050,election of remedies: legal remedies available to injured persons or things,0,0
360US622,1958,Warren,In re SAWYER,30010,"First Amendment, miscellaneous (cf. comity: First Amendment)",1,0
360US684,1958,Warren,KINGSLEY INTERNATIONAL PICTURES CORP. v. REGENTS OF THE UNIVERSITY OF THE STATE OF NEW YORK,30190,"obscenity, state (cf. comity: privacy): including the regulation of sexually explicit material under the 21st Amendment",1,0
361US15,1959,Warren,HARRIS v. PENNSYLVANIA RAILROAD CO.,80040,sufficiency of evidence: typically in the context of a jury's determination of compensation for injury or death,1,0
361US98,1959,Warren,HENRY v. UNITED STATES,10050,search and seizure (other than as pertains to vehicles or Crime Control Act),1,0
361US147,1959,Warren,SMITH v. CALIFORNIA,30190,"obscenity, state (cf. comity: privacy): including the regulation of sexually explicit material under the 21st Amendment",1,0
361US199,1959,Warren,BLACKBURN v. ALABAMA,10010,involuntary confession,1,0
361US234,1959,Warren,"KINSELLA, WARDEN, v. UNITED STATES ex rel. SINGLETON",20240,military: active duty,1,0
361US278,1959,Warren,"GRISHAM v. HAGAN, WARDEN",20240,military: active duty,1,0
361US281,1959,Warren,"MCELROY, SECRETARY OF DEFENSE, et al. v. UNITED STATES ex rel. GUAGLIARDO",20240,military: active duty,1,0
361US314,1959,Warren,"HESS, ADMINISTRATOR, v. UNITED STATES",80050,election of remedies: legal remedies available to injured persons or things,1,0
361US340,1959,Warren,"GOETT, ADMINISTRATRIX, v. UNION CARBIDE CORP. et al.",80050,election of remedies: legal remedies available to injured persons or things,1,0
361US376,1959,Warren,PHILLIPS CHEMICAL CO. v. DUMAS INDEPENDENT SCHOOL DISTRICT,100110,national supremacy: state tax (cf. state tax),1,0
361US416,1959,Warren,FORMAN v. UNITED STATES,10170,double jeopardy,0,0
361US431,1959,Warren,UNITED STATES v. MERSKY et al.,90430,judicial administration: certification (cf. objection to reason for denial of certiorari or appeal),1,0
361US477,1959,Warren,"NATIONAL LABOR RELATIONS BOARD v. INSURANCE AGENTS' INTERNATIONAL UNION, AFL-CIO",70070,labor-management disputes: bargaining,1,0
361US516,1959,Warren,BATES et al. v. CITY OF LITTLE ROCK et al.,30010,"First Amendment, miscellaneous (cf. comity: First Amendment)",1,0
362US29,1959,Warren,"UNITED STATES v. PARKE, DAVIS & CO.",80010,antitrust (except in the context of mergers and union antitrust),1,0
362US17,1959,Warren,UNITED STATES v. RAINES et al.,20010,voting,1,1
362US60,1959,Warren,TALLEY v. CALIFORNIA,30010,"First Amendment, miscellaneous (cf. comity: First Amendment)",1,0
362US73,1959,Warren,"FLORIDA LIME AND AVOCADO GROWERS, INC., et al. v. JACOBSEN, DIRECTOR OF THE DEPARTMENT OF AGRICULTURE OF CALIFORNIA, et al.",90340,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from federal district courts or courts of appeals (cf. 753)",1,0
362US199,1959,Warren,THOMPSON v. CITY OF LOUISVILLE et al.,40010,"due process: miscellaneous (cf. loyalty oath), the residual code",1,0
362US217,1959,Warren,"ABEL, ALIAS MARK, ALIAS COLLINS, ALIAS GOLDFUS, v. UNITED STATES",10050,search and seizure (other than as pertains to vehicles or Crime Control Act),0,0
362US257,1959,Warren,JONES v. UNITED STATES,10050,search and seizure (other than as pertains to vehicles or Crime Control Act),0,0
362US274,1959,Warren,"NATIONAL LABOR RELATIONS BOARD v. DRIVERS, CHAUFFEURS, HELPERS, LOCAL UNION NO. 639, INTERNATIONAL BROTHERHOOD OF TEAMSTERS, CHAUFFEURS, WAREHOUSEMEN AND HELPERS OF AMERICA",70140,labor-management disputes: picketing,1,0
362US330,1959,Warren,ORDER OF RAILROAD TELEGRAPHERS et al. v. CHICAGO & NORTH WESTERN RAILWAY CO.,70110,labor-management disputes: antistrike injunction,1,0
362US440,1959,Warren,HURON PORTLAND CEMENT CO. v. CITY OF DETROIT et al.,100090,"national supremacy: pollution, air or water (cf. natural resources - environmental protection)",0,0
362US458,1959,Warren,"MARYLAND AND VIRGINIA MILK PRODUCERS ASSOCIATION, INC., v. UNITED STATES",80020,mergers,1,0
362US539,1959,Warren,"MITCHELL v. TRAWLER RACER, INC.",80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages",1,0
362US610,1959,Warren,LEVINE v. UNITED STATES,10080,contempt of court or congress,0,0
363US1,1959,Warren,UNITED STATES v. LOUISIANA et al.,100040,Submerged Lands Act (cf. federal-state ownership dispute),0,0
363US121,1959,Warren,UNITED STATES v. FLORIDA et al.,100040,Submerged Lands Act (cf. federal-state ownership dispute),0,0
363US207,1959,Warren,CLAY v. SUN INSURANCE OFFICE LIMITED,90190,no merits: remand to determine basis of state or federal court decision (cf. judicial administration: state law),0,0
363US229,1959,Warren,UNITED STATES v. GRAND RIVER DAM AUTHORITY,100080,national supremacy: natural resources (cf. natural resources - environmental protection),1,0
363US237,1959,Warren,UNITED STATES v. BROSNAN et al.,120030,priority of federal fiscal claims: over those of the states or private entities,0,0
363US420,1959,Warren,HANNAH et al. v. LARCHE et al.,40010,"due process: miscellaneous (cf. loyalty oath), the residual code",0,0
363US509,1959,Warren,"AQUILINO et al., DOING BUSINESS AS HOME MAINTENANCE CO., et al. v. UNITED STATES et al.",120030,priority of federal fiscal claims: over those of the states or private entities,0,0
363US536,1959,Warren,"FEDERAL TRADE COMMISSION v. ANHEUSER-BUSCH, INC.",80010,antitrust (except in the context of mergers and union antitrust),1,0
363US564,1959,Warren,UNITED STEELWORKERS OF AMERICA v. AMERICAN MANUFACTURING CO.,70010,arbitration (in the context of labor-management or employer-employee relations) (cf. arbitration),0,0
363US574,1959,Warren,UNITED STEELWORKERS OF AMERICA v. WARRIOR & GULF NAVIGATION CO.,70010,arbitration (in the context of labor-management or employer-employee relations) (cf. arbitration),0,0
363US593,1959,Warren,UNITED STEELWORKERS OF AMERICA v. ENTERPRISE WHEEL & CAR CORP.,70010,arbitration (in the context of labor-management or employer-employee relations) (cf. arbitration),0,0
363US603,1959,Warren,"FLEMMING, SECRETARY OF HEALTH, EDUCATION, AND WELFARE, v. NESTOR",30120,security risks: denial of benefits or dismissal of employees for reasons other than failure to meet loyalty oath requirements,0,0
364US40,1959,Warren,ARMSTRONG et al. v. UNITED STATES,40070,"due process: takings clause, or other non-constitutional governmental taking of property",0,0
364US137,1959,Warren,SUNRAY MID-CONTINENT OIL CO. v. FEDERAL POWER COMMISSION,80300,federal and some few state regulation of public utilities regulation: gas producer,1,0
364US206,1959,Warren,ELKINS et al. v. UNITED STATES,10050,search and seizure (other than as pertains to vehicles or Crime Control Act),1,1
364US253,1959,Warren,RIOS v. UNITED STATES,10060,"search and seizure, vehicles",1,0
364US263,1959,Warren,"OHIO ex rel. EATON v. PRICE, CHIEF OF POLICE",10050,search and seizure (other than as pertains to vehicles or Crime Control Act),0,0
364US339,1960,Warren,"GOMILLION et al. v. LIGHTFOOT, MAYOR OF TUSKEGEE, et al.",20010,voting,1,0
364US372,1960,Warren,MCPHAUL v. UNITED STATES,30050,legislative investigations: concerning internal security only,0,0
364US388,1960,Warren,"UPHAUS v. WYMAN, ATTORNEY GENERAL OF NEW HAMPSHIRE",30050,legislative investigations: concerning internal security only,0,0
364US479,1960,Warren,SHELTON et al. v. TUCKER et al.,30010,"First Amendment, miscellaneous (cf. comity: First Amendment)",1,0
364US587,1960,Warren,CALLANAN v. UNITED STATES,10470,"statutory construction of criminal laws: Hobbs Act; i.e., 18 USC 1951",0,0
365US1,1960,Warren,FEDERAL POWER COMMISSION v. TRANSCONTINENTAL GAS PIPE LINE CORP. et al.,80310,federal and some few state regulation of public utilities regulation: gas pipeline (cf. federal transportation regulation: pipeline),1,0
365US43,1960,Warren,TIMES FILM CORP. v. CITY OF CHICAGO et al.,30010,"First Amendment, miscellaneous (cf. comity: First Amendment)",0,0
365US127,1960,Warren,"EASTERN RAILROAD PRESIDENTS CONFERENCE et al. v. NOERR MOTOR FREIGHT, INC., et al.",80010,antitrust (except in the context of mergers and union antitrust),0,0
365US167,1960,Warren,MONROE et al. v. PAPE et al.,20400,"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",1,0
365US320,1960,Warren,TAMPA ELECTRIC CO. v. NASHVILLE COAL CO. et al.,80010,antitrust (except in the context of mergers and union antitrust),0,0
365US381,1960,Warren,WILSON v. SCHNETTLER et al.,10050,search and seizure (other than as pertains to vehicles or Crime Control Act),0,0
365US399,1960,Warren,WILKINSON v. UNITED STATES,30050,legislative investigations: concerning internal security only,0,0
365US431,1960,Warren,BRADEN v. UNITED STATES,30050,legislative investigations: concerning internal security only,0,0
365US458,1960,Warren,"PUGACH v. DOLLINGER, DISTRICT ATTORNEY OF BRONX COUNTY, et al.",10050,search and seizure (other than as pertains to vehicles or Crime Control Act),0,0
365US505,1960,Warren,SILVERMAN et al. v. UNITED STATES,10050,search and seizure (other than as pertains to vehicles or Crime Control Act),1,0
365US534,1960,Warren,"ROGERS v. RICHMOND, WARDEN",10010,involuntary confession,1,0
365US570,1960,Warren,FERGUSON v. GEORGIA,10120,right to counsel (cf. indigents appointment of counsel or inadequate representation),1,0
365US610,1960,Warren,CHAPMAN v. UNITED STATES,10050,search and seizure (other than as pertains to vehicles or Crime Control Act),1,0
365US624,1960,Warren,UNITED STATES v. VIRGINIA ELECTRIC & POWER CO.,40070,"due process: takings clause, or other non-constitutional governmental taking of property",1,0
365US667,1960,Warren,"LOCAL 357, INTERNATIONAL BROTHERHOOD OF TEAMSTERS, CHAUFFEURS, WAREHOUSEMEN AND HELPERS OF AMERICA, v. NATIONAL LABOR RELATIONS BOARD",70030,union or closed shop: includes agency shop litigation,1,0
365US708,1960,Warren,"SMITH v. BENNETT, WARDEN",20350,indigents: costs or filing fees,1,0
365US731,1960,Warren,KOSSICK v. UNITED FRUIT CO.,80050,election of remedies: legal remedies available to injured persons or things,1,0
366US36,1960,Warren,KONIGSBERG v. STATE BAR OF CALIFORNIA et al.,30080,"loyalty oath: bar applicants (cf. admission to bar, state or federal or U.S. Supreme Court)",0,0
366US82,1960,Warren,In re ANASTAPLO,30080,"loyalty oath: bar applicants (cf. admission to bar, state or federal or U.S. Supreme Court)",0,0
366US117,1960,Warren,COHEN v. HURLEY,10090,self-incrimination (other than as pertains to Miranda or immunity from prosecution),0,0
366US213,1960,Warren,JAMES v. UNITED STATES,10490,statutory construction of criminal laws: internal revenue (cf. Federal Taxation),1,1
366US276,1960,Warren,"ELI LILLY & CO. v. SAV-ON-DRUGS, INC., et al.",80110,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",0,0
366US293,1960,Warren,"LOUISIANA ex rel. GREMILLION, ATTORNEY GENERAL, et al. v. NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE et al.",30010,"First Amendment, miscellaneous (cf. comity: First Amendment)",1,0
366US316,1960,Warren,UNITED STATES v. E. I. DU PONT DE NEMOURS & CO. et al.,80020,mergers,1,0
366US420,1960,Warren,MCGOWAN et al. v. MARYLAND,30170,establishment of religion (other than as pertains to parochiaid:),0,0
366US617,1960,Warren,"GALLAGHER, CHIEF OF POLICE OF SPRINGFIELD, MASSACHUSETTS, et al. v. CROWN KOSHER SUPER MARKET OF MASSACHUSETTS, INC., et al.",30160,free exercise of religion,0,0
366US599,1960,Warren,"BRAUNFELD et al. v. BROWN, COMMISSIONER OF POLICE OF PHILADELPHIA, et al.",30160,free exercise of religion,0,0
367US1,1960,Warren,COMMUNIST PARTY OF THE UNITED STATES v. SUBVERSIVE ACTIVITIES CONTROL BOARD,30060,"federal or state internal security legislation: Smith, Internal Security, and related federal statutes",0,0
366US717,1960,Warren,"IRVIN v. DOWD, WARDEN",10260,extra-legal jury influences: pretrial publicity,1,0
367US203,1960,Warren,SCALES v. UNITED STATES,30060,"federal or state internal security legislation: Smith, Internal Security, and related federal statutes",0,0
367US290,1960,Warren,NOTO v. UNITED STATES,30060,"federal or state internal security legislation: Smith, Internal Security, and related federal statutes",1,0
367US364,1960,Warren,GORI v. UNITED STATES,10170,double jeopardy,0,0
367US374,1960,Warren,UNITED STATES v. SHIMER,20250,military: veteran,0,0
367US396,1960,Warren,"POWER REACTOR DEVELOPMENT CO. v. INTERNATIONAL UNION OF ELECTRICAL, RADIO AND MACHINE WORKERS, AFL-CIO, et al.",80280,federal and some few state regulation of public utilities regulation: nuclear power,0,0
367US433,1960,Warren,"RECK v. PATE, WARDEN",10010,involuntary confession,1,0
367US456,1960,Warren,DEUTCH v. UNITED STATES,30050,legislative investigations: concerning internal security only,1,0
367US488,1960,Warren,"TORCASO v. WATKINS, CLERK",30160,free exercise of religion,1,0
367US497,1960,Warren,"POE et al. v. ULLMAN, STATE'S ATTORNEY",90250,standing to sue: justiciable question,0,0
367US568,1960,Warren,CULOMBE v. CONNECTICUT,10010,involuntary confession,1,0
367US643,1960,Warren,MAPP v. OHIO,10050,search and seizure (other than as pertains to vehicles or Crime Control Act),1,1
367US717,1960,Warren,"MARCUS et al. v. SEARCH WARRANT OF PROPERTY AT 104 EAST TENTH STREET, KANSAS CITY, MISSOURI, et al.",10050,search and seizure (other than as pertains to vehicles or Crime Control Act),1,0
367US740,1960,Warren,INTERNATIONAL ASSOCIATION OF MACHINISTS et al. v. STREET et al.,70030,union or closed shop: includes agency shop litigation,1,0
367US820,1960,Warren,LATHROP v. DONOHUE,30010,"First Amendment, miscellaneous (cf. comity: First Amendment)",0,0
367US886,1960,Warren,"CAFETERIA & RESTAURANT WORKERS UNION, LOCAL 473, AFL-CIO, et al. v. MCELROY et al.",30120,security risks: denial of benefits or dismissal of employees for reasons other than failure to meet loyalty oath requirements,0,0
368US52,1961,Warren,HAMILTON v. ALABAMA,10120,right to counsel (cf. indigents appointment of counsel or inadequate representation),1,0
368US57,1961,Warren,HOYT v. FLORIDA,20130,sex discrimination (excluding sex discrimination in employment),0,0
368US157,1961,Warren,GARNER et al. v. LOUISIANA,20080,sit-in demonstrations (protests against racial discrimination in places of public accommodation),1,0
368US278,1961,Warren,CRAMP v. BOARD OF PUBLIC INSTRUCTION OF ORANGE COUNTY,30110,loyalty oath: teachers,1,0
368US297,1961,Warren,"CAMPBELL, COMMISSIONER OF AGRICULTURE OF GEORGIA, et al. v. HUSSEY et al.",100030,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,1,0
368US351,1961,Warren,SEYMOUR v. SUPERINTENDENT OF WASHINGTON STATE PENITENTIARY,20160,"Indians, state jurisdiction over",1,0
368US424,1961,Warren,HILL v. UNITED STATES,10370,Federal Rules of Criminal Procedure,0,0
368US448,1961,Warren,"OYLER v. BOLES, WARDEN",40020,due process: hearing or notice (other than as pertains to government employees or prisoners' rights),0,0
368US487,1961,Warren,MACHIBRODA v. UNITED STATES,10030,plea bargaining: the constitutionality of and/or the circumstances of its exercise,1,0
368US502,1961,Warren,"CHARLES DOWD BOX CO., INC., v. COURTNEY et al.",100020,federal pre-emption of state court jurisdiction,0,0
369US60,1961,Warren,"ORGANIZED VILLAGE OF KAKE et al. v. EGAN, GOVERNOR OF ALASKA",80130,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)",0,0
369US95,1961,Warren,"LOCAL 174, TEAMSTERS, CHAUFFEURS, WAREHOUSEMEN & HELPERS OF AMERICA, v. LUCAS FLOUR CO.",70160,labor-management disputes: no-strike clause,1,0
369US121,1961,Warren,DIBELLA v. UNITED STATES,10370,Federal Rules of Criminal Procedure,1,0
369US141,1961,Warren,FONG FOO et al. v. UNITED STATES,10170,double jeopardy,1,0
369US153,1961,Warren,KESLER v. DEPARTMENT OF PUBLIC SAFETY OF UTAH,80030,bankruptcy (except in the context of priority of federal fiscal claims),0,0
369US186,1961,Warren,BAKER et al. v. CARR et al.,20090,reapportionment: other than plans governed by the Voting Rights Act,1,1
369US367,1961,Warren,"RUSK, SECRETARY OF STATE v. CORT",20280,"immigration and naturalization: loss of citizenship, denaturalization",1,0
369US438,1961,Warren,COPPEDGE v. UNITED STATES,20390,indigents: miscellaneous,1,0
369US469,1961,Warren,"DAIRY QUEEN, INC., v. WOOD, U.S. DISTRICT JUDGE, et al.",10580,"jury trial (right to, as distinct from extra-legal jury influences)",1,0
369US482,1961,Warren,CALIFORNIA v. FEDERAL POWER COMMISSION et al.,80020,mergers,1,0
369US506,1961,Warren,"CARNLEY v. COCHRAN, CORRECTIONS DIRECTOR",10120,right to counsel (cf. indigents appointment of counsel or inadequate representation),1,0
369US541,1961,Warren,BECK v. WASHINGTON,10260,extra-legal jury influences: pretrial publicity,0,0
369US590,1961,Warren,GOLDBLATT et al. v. TOWN OF HEMPSTEAD,40070,"due process: takings clause, or other non-constitutional governmental taking of property",1,0
369US599,1961,Warren,HUTCHESON v. UNITED STATES,10090,self-incrimination (other than as pertains to Miranda or immunity from prosecution),0,0
369US643,1961,Warren,MALONE v. BOWDOIN et al.,90320,judicial administration: jurisdiction or authority of federal district courts or territorial courts,0,0
369US663,1961,Warren,FREE v. BLAND,100070,"national supremacy: marital and family relationships and property, including obligation of child support",1,0
369US749,1961,Warren,RUSSELL v. UNITED STATES,30050,legislative investigations: concerning internal security only,1,0
370US1,1961,Warren,"ENOCHS, DISTRICT DIRECTOR OF INTERNAL REVENUE, v. WILLIAMS PACKING & NAVIGATION CO., INC.",120010,"federal taxation, typically under provisions of the Internal Revenue Code",1,0
370US49,1961,Warren,GALLEGOS v. COLORADO,10010,involuntary confession,1,0
370US114,1961,Warren,"CALBECK, DEPUTY COMMISSIONER, BUREAU OF EMPLOYEES' COMPENSATION, v. TRAVELERS INSURANCE CO. et al.",80050,election of remedies: legal remedies available to injured persons or things,1,0
370US139,1961,Warren,LANZA v. NEW YORK,10110,"self-incrimination, immunity from prosecution",0,0
370US195,1961,Warren,SINCLAIR REFINING CO. v. ATKINSON et al.,70110,labor-management disputes: antistrike injunction,1,0
370US238,1961,Warren,ATKINSON et al. v. SINCLAIR REFINING CO.,70160,labor-management disputes: no-strike clause,1,0
370US254,1961,Warren,"DRAKE BAKERIES INCORPORATED v. LOCAL 50, AMERICAN BAKERY & CONFECTIONERY WORKERS INTERNATIONAL, AFL-CIO, et al.",70010,arbitration (in the context of labor-management or employer-employee relations) (cf. arbitration),0,0
370US294,1961,Warren,"BROWN SHOE CO., INC., v. UNITED STATES",80020,mergers,1,0
370US375,1961,Warren,WOOD v. GEORGIA,30010,"First Amendment, miscellaneous (cf. comity: First Amendment)",1,0
370US421,1961,Warren,ENGEL et al. v. VITALE et al.,30170,establishment of religion (other than as pertains to parochiaid:),1,0
370US478,1961,Warren,"MANUAL ENTERPRISES, INC., et al. v. DAY, POSTMASTER GENERAL",30200,"obscenity, federal",1,0
370US530,1961,Warren,GLIDDEN COMPANY v. ZDANOK et al.,90360,judicial administration: jurisdiction or authority of the Court of Claims,1,0
370US607,1961,Warren,CENTRAL RAILROAD COMPANY OF PENNSYLVANIA v. PENNSYLVANIA,80100,state or local government tax,0,0
370US660,1961,Warren,ROBINSON v. CALIFORNIA,10140,"cruel and unusual punishment, non-death penalty (cf. liability, civil rights acts)",1,0
370US690,1961,Warren,CONTINENTAL ORE CO. et al. v. UNION CARBIDE & CARBON CORP. et al.,80010,antitrust (except in the context of mergers and union antitrust),1,0
371US38,1962,Warren,UNITED STATES v. LOEW'S INCORPORATED et al.,80010,antitrust (except in the context of mergers and union antitrust),1,0
371US145,1962,Warren,FEDERAL POWER COMMISSION v. TENNESSEE GAS TRANSMISSION CO. et al.,80310,federal and some few state regulation of public utilities regulation: gas pipeline (cf. federal transportation regulation: pipeline),1,0
371US156,1962,Warren,"BURLINGTON TRUCK LINES, INC., et al. v. UNITED STATES et al.",90120,judicial review of administrative agency's or administrative official's actions and procedures,0,0
371US195,1962,Warren,SMITH v. EVENING NEWS ASSOCIATION,100020,federal pre-emption of state court jurisdiction,0,1
371US208,1962,Warren,SCHROEDER v. CITY OF NEW YORK,40020,due process: hearing or notice (other than as pertains to government employees or prisoners' rights),1,0
371US236,1962,Warren,"JONES v. CUNNINGHAM, PENITENTIARY SUPERINTENDENT",10020,habeas corpus,1,0
371US296,1962,Warren,"PAN AMERICAN WORLD AIRWAYS, INC., v. UNITED STATES",80260,federal and some few state regulation of transportation regulation: airline,0,0
371US341,1962,Warren,SHOTWELL MANUFACTURING CO. et al. v. UNITED STATES,10090,self-incrimination (other than as pertains to Miranda or immunity from prosecution),0,0
371US392,1962,Warren,CLEARY v. BOLGER,90020,comity: criminal procedure,0,0
371US415,1962,Warren,"NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE v. BUTTON, ATTORNEY GENERAL OF VIRGINIA, et al.",30010,"First Amendment, miscellaneous (cf. comity: First Amendment)",1,0
371US471,1962,Warren,WONG SUN et al. v. UNITED STATES,10050,search and seizure (other than as pertains to vehicles or Crime Control Act),1,0
371US542,1962,Warren,"LOCAL NO. 438 CONSTRUCTION & GENERAL LABORERS' UNION, AFL-CIO, v. CURRY et al., DOING BUSINESS AS S. J. CURRY & CO.",100020,federal pre-emption of state court jurisdiction,1,1
371US555,1962,Warren,"MERCANTILE NATIONAL BANK AT DALLAS v. LANGDEAU, RECEIVER",90140,venue,1,0
372US10,1962,Warren,"MCCULLOCH, CHAIRMAN, NATIONAL LABOR RELATIONS BOARD, et al. v. SOCIEDAD NACIONAL DE MARINEROS DE HONDURAS",70100,labor-management disputes: representative election,0,0
372US29,1962,Warren,UNITED STATES v. NATIONAL DAIRY PRODUCTS CORP. et al.,80010,antitrust (except in the context of mergers and union antitrust),1,0
372US58,1962,Warren,"BANTAM BOOKS, INC., et al. v. SULLIVAN et al.",30190,"obscenity, state (cf. comity: privacy): including the regulation of sexually explicit material under the 21st Amendment",1,0
372US84,1962,Warren,NORTHERN NATURAL GAS CO. v. STATE CORPORATION COMMISSION OF KANSAS,100030,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,1,0
372US108,1962,Warren,GALLICK v. BALTIMORE & OHIO RAILROAD CO.,80040,sufficiency of evidence: typically in the context of a jury's determination of compensation for injury or death,1,0
372US144,1962,Warren,"KENNEDY, ATTORNEY GENERAL, v. MENDOZA-MARTINEZ",20280,"immigration and naturalization: loss of citizenship, denaturalization",1,0
372US229,1962,Warren,EDWARDS et al. v. SOUTH CAROLINA,30150,protest demonstrations (other than as pertains to sit-in demonstrations): demonstrations and other forms of protest based on First Amendment guarantees,1,0
372US253,1962,Warren,WHITE MOTOR CO. v. UNITED STATES,80010,antitrust (except in the context of mergers and union antitrust),0,0
372US293,1962,Warren,"TOWNSEND v. SAIN, SHERIFF, et al.",10020,habeas corpus,1,0
372US335,1962,Warren,"GIDEON v. WAINWRIGHT, CORRECTIONS DIRECTOR",10120,right to counsel (cf. indigents appointment of counsel or inadequate representation),1,1
372US353,1962,Warren,DOUGLAS et al. v. CALIFORNIA,20320,indigents: appointment of counsel (cf. right to counsel),1,0
372US368,1962,Warren,"GRAY, CHAIRMAN OF THE GEORGIA STATE DEMOCRATIC EXECUTIVE COMMITTEE, et al. v. SANDERS",20090,reapportionment: other than plans governed by the Voting Rights Act,1,1
372US391,1962,Warren,"FAY, WARDEN, et al. v. NOIA",10020,habeas corpus,1,1
372US477,1962,Warren,"LANE, WARDEN, v. BROWN",20370,indigents: transcript,1,0
372US487,1962,Warren,DRAPER et al. v. WASHINGTON et al.,20370,indigents: transcript,1,0
372US528,1962,Warren,LYNUMN v. ILLINOIS,10010,involuntary confession,1,0
372US539,1962,Warren,GIBSON v. FLORIDA LEGISLATIVE INVESTIGATION COMMITTEE,30010,"First Amendment, miscellaneous (cf. comity: First Amendment)",1,0
372US658,1962,Warren,ARROW TRANSPORTATION CO. et al. v. SOUTHERN RAILWAY CO. et al.,80220,federal or state regulation of transportation regulation: railroad,0,0
372US682,1962,Warren,"INTERNATIONAL ASSOCIATION OF MACHINISTS, AFL-CIO, et al. v. CENTRAL AIRLINES, INC.",70080,labor-management disputes: employee discharge,1,0
372US714,1962,Warren,"COLORADO ANTI-DISCRIMINATION COMMISSION et al. v. CONTINENTAL AIR LINES, INC.",100120,national supremacy: miscellaneous,0,0
372US726,1962,Warren,"FERGUSON, ATTORNEY GENERAL OF KANSAS, et al. v. SKRUPA, DOING BUSINESS AS CREDIT ADVISORS",80110,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",1,1
372US734,1962,Warren,DOWNUM v. UNITED STATES,10170,double jeopardy,1,0
373US1,1962,Warren,SANDERS v. UNITED STATES,10020,habeas corpus,1,0
373US59,1962,Warren,WHITE v. MARYLAND,10120,right to counsel (cf. indigents appointment of counsel or inadequate representation),1,0
373US64,1962,Warren,"HALLIBURTON OIL WELL CEMENTING CO. v. REILY, COLLECTOR OF REVENUE OF LOUISIANA",80100,state or local government tax,0,0
373US83,1962,Warren,BRADY v. MARYLAND,10160,"discovery and inspection (in the context of criminal litigation only, otherwise Freedom of Information Act and related federal or state statutes or regulations)",0,0
373US96,1962,Warren,"WILLNER v. COMMITTEE ON CHARACTER AND FITNESS, APPELLATE DIVISION OF THE SUPREME COURT OF NEW YORK, FIRST JUDICIAL DEPARTMENT",40020,due process: hearing or notice (other than as pertains to government employees or prisoners' rights),1,0
373US132,1962,Warren,"FLORIDA LIME & AVOCADO GROWERS, INC., et al. v. PAUL, DIRECTOR OF THE DEPARTMENT OF AGRICULTURE OF CALIFORNIA, et al.",80110,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",0,0
373US206,1962,Warren,GUTIERREZ v. WATERMAN STEAMSHIP CORP.,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages",1,0
373US221,1962,Warren,NATIONAL LABOR RELATIONS BOARD v. ERIE RESISTOR CORP. et al.,70190,labor-management disputes: working conditions,1,0
